full_name,first_name,last_name,country,id,type,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,type_avg,diff_avg,player_avg
Nacer Chadli,Nacer,Chadli,Belgium,106,club,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.11,0.26,0.47,0.26,0.26,0.47,0.15,0.29,0.17,0.16,0.17,0,0.42,0.25,-0.13,0.19
Nacer Chadli,Nacer,Chadli,Belgium,106,nt,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0.33,0,0.06,0,0.2,0,0.12,0,0.5,0.12,-0.13,0.19
Kevin De Bruyne,Kevin,De Bruyne,Belgium,629,club,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0.08,0.17,0.19,0.29,0.11,0.31,0.38,0.14,0.23,0.21,0.34,0.2,0.04,0.22
Kevin De Bruyne,Kevin,De Bruyne,Belgium,629,nt,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0.33,1,0.3,0,0.12,-1,0.67,0.24,0.04,0.22
Marouane Fellaini,Marouane,Fellaini,Belgium,12753,club,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.1,0.19,0.23,0.09,0.12,0.12,0.33,0.08,0.23,0.14,0.12,0.22,0.27,0.33,0.18,0.17,0.27
Marouane Fellaini,Marouane,Fellaini,Belgium,12753,nt,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0.11,0.33,0.11,0,0.2,0.25,0.18,2,0.27,1,0.15,0,-1,0.35,0.17,0.27
Yannick Ferreira-Carrasco,Yannick,Ferreira-Carrasco,Belgium,2923,club,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.24,0.18,0.15,0.12,0.25,0.21,0.68,0.06,0.24,-0.17,0.16
Yannick Ferreira-Carrasco,Yannick,Ferreira-Carrasco,Belgium,2923,nt,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0.22,0,0.16,0,0.14,0.07,-0.17,0.16
Eden Hazard,Eden,Hazard,Belgium,2296,club,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0.13,0.2,0.22,0.44,0.22,0.33,0.36,0.16,0.4,0.33,0.4,0.05,0.25,0.05,0.28
Eden Hazard,Eden,Hazard,Belgium,2296,nt,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0.17,0.25,0.16,0.5,0.37,1,0.55,0.25,0.62,0.3,0.05,0.28
