full_name,first_name,last_name,country,id,club1991,nt1991,club1992,nt1992,club1993,nt1993,club1994,nt1994,club1995,nt1995,club1996,nt1996,club1997,nt1997,club1998,nt1998,club1999,nt1999,club2000,nt2000,club2001,nt2001,club2002,nt2002,club2003,nt2003,club2004,nt2004,club2005,nt2005,club2006,nt2006,club2007,nt2007,club2008,nt2008,club2009,nt2009,club2010,nt2010,club2011,nt2011,club2012,nt2012,club2013,nt2013,club2014,nt2014,club2015,nt2015,club2016,nt2016,club2017,nt2017,club2018,nt2018,club2019,nt2019,club2020,nt2020
Christian Benteke,Christian,Benteke,Belgium,2928,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.21,-1,0.42,0,0.28,-1,0.39,0.5,0.57,0.5,0.39,0.22,0.46,0,0.24,0.11,0.42,1,0.1,1,0.05,-1,0.08,1
Nacer Chadli,Nacer,Chadli,Belgium,106,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.11,-1,0.26,-1,0.47,-1,0.26,0,0.26,0.33,0.47,0,0.15,0.06,0.29,0,0.17,0.2,0.16,0,0.17,0.12,0,0,0.42,0.5
Kevin De Bruyne,Kevin,De Bruyne,Belgium,629,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,0.08,0,0.17,0,0.19,0,0.29,0,0.11,0.33,0.31,1,0.38,0.3,0.14,0,0.23,0.12,0.21,-1,0.34,0.67
Marouane Fellaini,Marouane,Fellaini,Belgium,12753,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.1,0,0.19,0.11,0.23,0.33,0.09,0.11,0.12,0,0.12,0.2,0.33,0.25,0.08,0.18,0.23,2,0.14,0.27,0.12,1,0.22,0.15,0.27,0,0.33,-1
Yannick Ferreira-Carrasco,Yannick,Ferreira-Carrasco,Belgium,2923,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.24,-1,0.18,0,0.15,0,0.12,0.22,0.25,0,0.21,0.16,0.68,0,0.06,0.14
Eden Hazard,Eden,Hazard,Belgium,2296,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0.13,0,0.2,0,0.22,0,0.44,0.17,0.22,0.25,0.33,0.16,0.36,0.5,0.16,0.37,0.4,1,0.33,0.55,0.4,0.25,0.05,0.62
Romelu Lukaku,Romelu,Lukaku,Belgium,907,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,0.42,0.5,0.4,0,0.14,0.1,0.45,0,0.44,0.62,0.42,0,0.53,0.38,0.65,0.75,0.53,1.05,0.33,2,0.68,1.4
Thomas Meunier,Thomas,Meunier,Belgium,264,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,0.1,-1,0.14,0,0.09,0,0.04,0,0.12,0,0.06,0,0.15,0.32,0.14,0,0.04,0.25
Radja Nainggolan,Radja,Nainggolan,Belgium,205,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,0,-1,-1,-1,0.08,0,0.03,-1,0.05,0,0.03,0,0.06,0,0.1,0.5,0.11,0.5,0.14,0.24,0.25,0,0.14,0,0.19,-1,0.2,-1
Wesley Sonck,Wesley,Sonck,Belgium,114217,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,0.25,-1,1,-1,0.55,-1,-1,0.29,0.33,0,-1,-1,0.33,0.47,0.33,0.27,0.67,0.36,-1,0.07,-1,0.08,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Daniel Van Buyten,Daniel,Van Buyten,Belgium,114958,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.08,-1,0,0,0,-1,0,0.07,0.25,0.12,0,0.11,0.08,0.17,0.5,0.19,0.14,0.07,0.25,0.17,0.25,0,0,0.06,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Jan Vertonghen,Jan,Vertonghen,Belgium,170,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.19,-1,0.05,0,0.15,0.25,0.06,0,0.16,0,0.24,0.14,0.12,0,0.03,0.1,0.02,0.5,0,0,0,0,0.02,0.14,0.06,0,0.07,0
Axel Witsel,Axel,Witsel,Belgium,20,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.33,0.2,0.5,0.25,0,0.28,0.2,0.07,0.14,0.15,0,0.1,0.05,0.14,0,0.15,0.05,0.1,0,0.06,0.11,0.12,0,0.09,0
Ermin Bi?ak?i?,Ermin,Bi?ak?i?,Bosnia and Herzegovina,705,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,0,-1,0.12,-1,0.09,0,0.03,0.14,0.07,0,0,0.25,0.05,0,0,0.09,0.03,0,0.09,0
Edin Džeko,Edin,Džeko,Bosnia and Herzegovina,790,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.33,-1,0.43,0,0.29,0.17,0.75,1.5,0.6,0.65,0.42,0,0.43,0.29,0.34,0.67,0.54,0.82,0.24,0,0.28,0.75,0.75,1,0.51,0.33,0.38,0.75,0.43,0.33
Amer Gojak,Amer,Gojak,Bosnia and Herzegovina,1320,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,0,-1,0.05,-1,0.12,0,0.04,0,0.1,0,0.11,0.44
Izet Hajrovic,Izet,Hajrovic,Bosnia and Herzegovina,1327,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,0.21,-1,0.08,-1,0.28,0,0.21,0.22,0.09,1,0.11,0,0.1,0,0,0.5,0.33,-1,0,0.33
Armin Hodži?,Armin,Hodži?,Bosnia and Herzegovina,2351,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,0,-1,0.17,-1,0.5,0,0.55,0,0.25,0,0.17,-1,0.38,0.75
Vedad Ibiševi?,Vedad,Ibiševi?,Bosnia and Herzegovina,25359,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.29,-1,0.25,0,0.16,0.17,1.06,0,0.34,0.2,0.3,0,0.52,0.31,0.51,0.67,0.45,0.65,0,0,0.4,0.15,0.37,0,0.21,0.3,0.41,-1,0.33,-1
Senijad Ibri?i?,Senijad,Ibri?i?,Bosnia and Herzegovina,105868,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,0,-1,0,3.25,0,0.55,0.13,0.33,-1,0.11,0.09,0.21,0,0.32,0,0.22,-1,0,-1,0.2,-1,0.35,-1,0.33,-1,0.3,-1
Senad Luli?,Senad,Luli?,Bosnia and Herzegovina,1855,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.11,-1,0.2,0,0.2,0,0.11,0,0.06,0,0.19,0.08,0.14,-1,0.08,0.08,0.09,1,0.1,0.12,0.09,-1,0,-1
Haris Medunjanin,Haris,Medunjanin,Bosnia and Herzegovina,50744,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.5,-1,0.29,-1,0,-1,0.06,-1,0.24,0.2,0.67,0,0.11,0.2,0.12,0,0.06,0.08,0.08,0,0,0.17,0.08,0,0.08,0.22,0.03,-1,0.06,-1
Zvjezdan Misimovi?,Zvjezdan,Misimovi?,Bosnia and Herzegovina,115103,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,0.35,0.18,0.2,0,0.36,0.36,0.24,0,0.31,0.38,0,0,0.26,0.25,0,0,0,0.38,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Miralem Pjani?,Miralem,Pjani?,Bosnia and Herzegovina,872,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,0.09,-1,0,0,0.21,0.13,0.1,0,0.11,0.12,0.14,0.33,0.16,0.29,0.11,0,0.27,0.13,0.17,0,0.16,0.08,0.09,0,0.07,0.38
Sejad Salihovic,Sejad,Salihovic,Bosnia and Herzegovina,90644,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.27,-1,0.33,-1,0.22,0,0.28,0.5,0.14,0.14,0.17,0,0.41,0.17,0.33,0,0.37,0,0.15,0,-1,0,0,-1,0.1,-1,-1,-1,-1,-1
Edin Viš?a,Edin,Viš?a,Bosnia and Herzegovina,49860,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,0.12,-1,0.11,0,0.29,0,0.23,-1,0.41,0.17,0.23,0,0.35,0.46,0.36,0,0.43,0.22
Dimitar Berbatov,Dimitar,Berbatov,Bulgaria,113639,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0.6,-1,-1,-1,0.54,-1,1.5,0.62,0.78,0.42,-1,0.56,0.55,0.32,1,0.29,0.56,0.49,-1,0.45,-1,0.43,-1,0.41,-1,0.24,-1,0.2,-1,0,-1,-1,-1,-1,-1,-1,-1
Stanislav Manolev,Stanislav,Manolev,Bulgaria,1060,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0.07,0,0,0,0.08,0,0.08,0.33,0.1,0.3,0.05,0,0,0,-1,0,0,0.17,0,-1,0,-1
Martin Petrov,Martin,Petrov,Bulgaria,114864,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.17,-1,0.29,0,0.34,-1,-1,0.17,-1,-1,-1,0.15,-1,0,0.03,0.38,0.15,-1,0.15,0.6,0.14,0,0.25,0.22,0.09,1,0.17,0,0.12,-1,0.16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Ivelin Popov,Ivelin,Popov,Bulgaria,53530,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0.5,0,-1,0.18,0.15,1,0.14,0.23,0.35,0,0.24,0.17,0.16,0,0.19,0.15,0.08,1,0.13,0.27,0.11,0.12,0.22,0.14
Dimitar Rangelov,Dimitar,Rangelov,Bulgaria,26230,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.31,-1,0.27,-1,0.33,0.5,0.07,0.1,0,0,0.39,0,0.07,-1,0.5,0.17,0.23,-1,0.14,0.25,0.19,-1,0.33,0.5,0.28,-1,0.48,-1
Chavdar Yankov,Chavdar,Yankov,Bulgaria,242429,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,2,0.18,0.2,0.07,-1,0,0.11,0,0,0.1,0,0,0,0,0,0,-1,0.2,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Marcelo Brozovic,Marcelo,Brozovic,Croatia,201,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.05,-1,0.15,-1,0.09,-1,0.2,0,0.1,1,0.19,0.19,0.22,0,0.12,0.1,0.07,0,0.06,0
Eduardo da Silva,Eduardo,da Silva,Croatia,80360,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,0,0.69,0.33,1.03,0.33,0.3,0.77,0.75,1,0.22,0.43,0.36,0.5,0.32,0.33,0.15,1,0.41,0.18,0.21,-1,0.44,0,0.12,-1,0,-1,0,-1,-1,-1
Nikica Jelavi?,Nikica,Jelavi?,Croatia,12464,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.13,-1,0.19,0.5,0.56,0.25,0.74,0,0.65,0.07,0.19,0.5,0.27,0.18,0.28,-1,0.15,0,0.58,-1,0.28,-1,0.54,-1,-1,-1
Nikola Kalini?,Nikola,Kalini?,Croatia,57,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,0.38,-1,0.68,0,0.5,-1,0.21,0,0.3,0.67,0.48,0.43,0.28,0.5,0.3,0,0.4,1,0.35,0.56,0.49,0,0.14,0.27,0.17,-1,0.26,-1
Andrej Kramari?,Andrej,Kramari?,Croatia,726,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.24,-1,0.07,-1,0.36,-1,0.47,-1,0.57,0,0.69,0,0.3,0.33,0.5,0,0.31,0.22,0.59,0.5,0.57,0.33
Niko Kranj?ar,Niko,Kranj?ar,Croatia,104745,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,0.33,0.29,0.1,0.17,0,0.12,0.15,0.17,0.33,0.24,0.38,0.1,0,0.06,0.29,0.19,0,0.06,0.17,0.09,-1,0,-1,0.33,-1,0,-1,-1,-1,-1,-1
Mario Mandžuki?,Mario,Mandžuki?,Croatia,878,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.11,-1,0.48,-1,0.38,0,0.47,0,0.5,0.17,0.36,0,0.36,0.35,0.54,0.5,0.52,0.44,0.47,1,0.38,0.4,0.22,0,0.24,0.42,0.29,-1,0.14,-1
Luka Modric,Luka,Modric,Croatia,754,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.25,0.12,0.18,0.5,0.48,0.11,0.12,0,0.09,0.27,0.09,0,0.12,0.07,0.08,0,0.04,0,0.04,-1,0.07,0.21,0.03,0,0.05,0.14,0.07,0,0.11,0.22
Ivica Oli?,Ivica,Oli?,Croatia,90712,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.29,-1,0.25,-1,0.2,0.5,0,0.38,0,0.35,1,0.5,0.12,0.42,0,0.46,0.3,0,0,0.14,0.25,0.35,0,0.41,0.29,0.19,0,0.1,0.12,0.16,-1,-1,-1,-1,-1,-1,-1
Ivan Perisic,Ivan,Perisic,Croatia,207,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.29,-1,0.33,-1,0.48,0,0.23,0,0.15,0,0.29,0.31,0.19,0,0.27,0.59,0.24,0,0.28,0.32,0.19,0.17,0.21,0.33
Bruno Petkovic,Bruno,Petkovic,Croatia,1331,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,0,-1,0.1,-1,0.24,-1,0.1,-1,0,-1,0.32,1,0.32,0.5
Mladen Petri?,Mladen,Petri?,Croatia,114793,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,0.19,0,0.22,0.5,0.43,-1,-1,0,-1,-1,0.47,0,0.76,0.5,0.45,0.39,0.46,0,0.47,0.22,0.54,0,0.29,0.25,0.21,1,0.07,0,0.2,-1,0.19,-1,-1,-1,-1,-1,-1,-1,-1,-1
Ivan Rakitic,Ivan,Rakitic,Croatia,149,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,0.33,0,0.08,0.27,0.07,0.5,0.21,0.29,0.17,0,0.03,0,0.26,0,0.27,0.06,0.17,-1,0.17,0.2,0.18,0,0.07,0.16,0.12,0,0.02,0
Darijo Srna,Darijo,Srna,Croatia,30557,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,0,-1,0.13,-1,0.33,0,0.41,0,0.67,0,0.31,0.12,0.33,0.08,0,0.11,0,0.09,0.06,0.1,0.25,0.16,0.06,0.14,0,0.12,0.06,0.03,-1,0,-1,0,-1,-1,-1
Nikola Vlasic,Nikola,Vlasic,Croatia,842,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.12,-1,0.06,-1,0.11,0,0.16,0,0.26,0,0.34,0.5
Antonín Barák,Antonín,Barák,Czech Republic,30803,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,0,-1,0,-1,0.35,1,0.15,0.5,0.21,0.6,0,0,0.11,0
Milan Baroš,Milan,Baroš,Czech Republic,66078,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.5,-1,0.55,0.5,1,0.08,0.75,0.35,0,0.3,0.39,0.17,0,0.12,0.31,0.6,0.5,0.7,0.5,0.52,0,0.28,0.21,0.42,-1,0.25,-1,0.18,-1,0.38,-1,0.21,-1,0.37,-1,0.39,-1,0.08,-1
Vladimír Darida,Vladimír,Darida,Czech Republic,25348,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,0,-1,0.14,0,0.21,0,0.18,0,0.21,0,0.2,0.05,0.07,0,0,0.33,0,0.5,0.12,0.29
Borek Dockal,Borek,Dockal,Czech Republic,55875,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.17,-1,0.14,-1,0.11,-1,0.34,1,0.32,0,0.14,0.14,0.27,0,0.27,0.29,0.2,0,0.14,0,0,0,0.06,0
Michal Kadlec,Michal,Kadlec,Czech Republic,66090,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,0,-1,0.1,0.12,0.18,0,0.04,0,0.12,0.4,0.05,0.28,0.06,0,0.15,0,0.09,0,0,0,0.07,-1,0,0,0,-1,0,-1
Michal Krmen?ík,Michal,Krmen?ík,Czech Republic,820,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,0,-1,1,-1,0.25,-1,0.15,-1,0.36,0,0.35,0.5,0.65,0.4,0.56,0.25,0.47,0
David Lafata,David,Lafata,Czech Republic,105715,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.13,0,0.41,0,0.17,1,0.32,0,0.44,0,0.63,0,0.82,0.33,0.72,1,0.53,0.14,0.77,-1,0.67,0.18,0.42,-1,0.2,-1,0,-1,-1,-1
Václav Pilar,Václav,Pilar,Czech Republic,66281,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.11,0,0.24,0.27,0,-1,0,0,0.16,0,0,0.33,0,-1,0.12,-1,0.08,-1,0.18,-1
Jan Polák,Jan,Polák,Czech Republic,66607,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.5,0.03,0.21,0.1,0,0.1,0.06,0.1,0,0,0.12,0.08,0,0,0,0.03,-1,0,-1,0,-1,0.12,-1,0.08,-1,0.04,-1,-1,-1,-1,-1
Tomás Rosicky,Tomás,Rosicky,Czech Republic,105800,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,0,-1,0.31,-1,0.5,-1,0.19,-1,-1,0.18,0.53,0.12,0,0.3,0.2,0,-1,0.09,0,0.03,0.5,0.05,0,0.19,0,0.07,0.29,0.13,-1,0,0.1,0,-1,0.08,-1,-1,-1,-1,-1
Patrik Schick,Patrik,Schick,Czech Republic,794,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,0.14,-1,0.29,1,0.36,0,0.25,0,0.14,0.5,0.36,0.67
Tomás Sivok,Tomás,Sivok,Czech Republic,105277,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.18,0,0.13,0,0.06,0,0.05,0,0.05,0.2,0.1,0.25,0.15,0.06,0.17,0,0.13,0,0,1,0.07,0.08,0.04,0,0.12,0,-1,-1,0.1,-1
Matej Vydra,Matej,Vydra,Czech Republic,18930,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.29,-1,0,-1,0,0,0.47,0,0.15,0.5,0.36,-1,0.24,0.2,0.13,0,0.5,0,0.12,0,0.09,0
Daniel Agger,Daniel,Agger,Denmark,114778,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0.2,0.08,0,0,0,0.04,0,0.03,0.07,0,0.5,0.06,0.1,0.08,0,0.08,0.46,0.05,0,0.04,0,-1,-1,-1,-1,-1,-1,-1,-1
Nicklas Bendtner,Nicklas,Bendtner,Denmark,1187,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0.67,0.26,0.5,0.21,0.27,0.25,0,0.39,0.38,0.25,0.4,0.26,0.54,0,0,0.14,0.5,0.18,0.75,0.17,0.2,0.45,-1,0.32,0.14,0.19,-1,0.12,-1
